Detailed Occupation ID,Detailed Occupation,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Top Total Population,Total Population RCA,Total Population MOE Appx
"1191XX","Other managers",2018,102769.86282871358,13059.752544031882,1339,29547,3,1.4704542246886614,4219.758414303949
"291141","Registered nurses",2018,68419.1209398756,5957.4736894187245,1272,28940,4,1.579051956920055,4176.197763165631
"291141","Registered nurses",2017,65668.82106111091,6094.86432984044,1222,27311,4,1.5646081408684016,4056.9760284309905
"119XXX","Miscellaneous managers",2014,96960.68397932817,12067.75941078809,1243,27090,3,1.5403097300614461,4040.512006731448
"291031","Dietitians & nutritionists",2023,67442.0548068284,6652.496870427009,1348,26712,5,38.02795851626719,4012.269989701151
"291031","Dietitians & nutritionists",2022,65363.707613176506,6802.930822036267,1318,26441,5,38.65867596327147,3991.8664434728094
"291141","Registered nurses",2016,63087.44572922029,5826.182139303399,1165,25253,4,1.5034929942913609,3901.149242290846
"291031","Dietitians & nutritionists",2021,60894.79190154823,6476.951711345572,1247,25190,5,37.806287555575345,3896.301590921064
"291141","Registered nurses",2015,63214.10751506269,6052.816239174348,1134,24564,4,1.5093751240527917,3847.56595442664
"291141","Registered nurses",2014,64300.05889837465,5979.941118539377,1162,24364,4,1.5605936028061584,3831.86771471092
"291031","Dietitians & nutritionists",2020,58148.17152076783,6766.569255904907,1178,24172,5,38.13456648230106,3816.76884391608
"291031","Dietitians & nutritionists",2019,54934.212206332995,6018.237001317865,1191,23496,5,39.86780847039837,3763.027061528663
"291031","Dietitians & nutritionists",2018,53682.81679629546,5985.142953400382,1121,22243,5,39.331105305172564,3661.3261494155163
"291031","Dietitians & nutritionists",2017,53397.78533682456,6916.31851557035,1084,21005,5,38.86953045274681,3557.9879926488334
"291031","Dietitians & nutritionists",2016,50833.85070504434,6125.786865035871,1060,20637,5,40.1726885896419,3526.6830384962345
"291031","Dietitians & nutritionists",2015,52964.385947149945,7312.187732344562,1030,19754,5,41.17165852040304,3450.416643734219
"291031","Dietitians & nutritionists",2014,52962.52508413151,7362.027268517387,1013,19315,5,41.646794305694655,3411.862787939108
